poi - id;poi - category - term;poi - category - scheme;poi - link - href;poi - link - term;poi - link - type;poi - link - lang;poi - time - term;poi - time - type;poi - time - value;poi - description - lang;poi - description - value;poi - description - author - id;poi - description - author - type;poi - description - author - href;poi - description - author - value;poi - label - term;poi - label - lang;poi - license - term;poi - license - scheme;Latitude;Longitude;poi - location - point - Point - srsName;poi - location - address - type;poi - location - address - value;poi - location - relationship - targetPOI
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_885;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:959/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca moderna;it;"Il Santuario della SS.ma Trinità con l’annesso monastero benedettino furono edificati nell’XI secolo, tuttavia l’attuale aspetto è frutto del restauro del XIX secolo operato dai padri Alcantrini. Esso sorge sul versante sud-occidentale di Monte Orlando, su tre immense spaccature della roccia prodotte, secondo la tradizione, dal terremoto seguito alla morte di Cristo. A sinistra della Chiesa vi è la discesa alla fenditura della Grotta del Turco; a destra, seguendo un corridoio scoperto con alle pareti della Via Crucis in riquadri maiolicati (opera di R. Bruno, 1849) si arriva alla cappellina cinqucentesca dedicata a S. Filippo Neri, mentre la costruzione della Cappellina dedicata al Crocifisso (che custodisce un Crocifisso del XV secolo) risale al 1434, quando un macigno si staccò dall’alto del monte e precipitò verso il mare incastrandosi tra le due pareti.";http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Sanctuary of the SS. Trinita' or Sanctuary of Split Mountain - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20586;13.570915;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_886;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:960/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca medievale moderna;it;La Grotta del turco è stata così denominata, in quanto nel IX secolo, ai tempi del Ducato di Gaeta, le navi dei saraceni trovavano rifugio tra le fenditure di questo strategico promontorio, pronti ad attaccare di sorpresa le navi in transito, al fine di depredarle dei loro carichi. Sulla parete di destra una iscrizione in distico latino, con affianco un’impronta di mano, ricorda che il miracoloso segno fu impresso da un marinaio turco miscredente, che, irridendo la pia tradizione della nascita della fenditura, si appoggiò sulla roccia, che, subito, miracolosamente si rammollì.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Grotta del Turco - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20586;13.570915;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_890;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:963/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;età moderna;en;The route that starts from the Sanctuary of the Trinità takes you to the Carolina Gunpowder Magazine (Polveriera Carolina), one of the numerous military structures built during Bourbon rule. The fortifications on the promontory were begun by Ferdinando il Cattolico and completed in 1530 by Carlo V, who commissioned an imposing system of defence walls still visible today, sheltered by the cliffs and making the promontory practically unassailable from the sea. Construction in the second half of the 18th century of the Torre d’Orlando, Carolina, Ferdinando and Trabacco gunpowder magazines with an overall capacity of 27 thousand hundredweight of powder, is attributed to Ferdinando IV. This was immense firepower for the time.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Carolina Gunpowder Magazine and Borboun fortifications - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20594;13.574697;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_709;POI_InteresseArcheologico;;http://www.futouring.com/fedora/get/turismoCulturale:908/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;Età antica;en;The mausoleum is an impressive cylindrical structure 29m in diameter and over 13m in height. The exterior is swathed in opus quadratum with large travertine blocks, while the interior is subdivided into four cells connected by a circular corridor and small staircase, added later, that leads to the floor above. Gaeta also succumbed to Roman domination in the 4th century BC and immediately became the holiday destination of rich patricians and senators. Among these was General Munazio Planco who built a villa (now destroyed) and monumental tomb completed in 22 BC, the year of his death.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Mausoleum of Lucio Munazio Planco - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20723;13.57693;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_883;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:957/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca moderna;en;Characterized by an enviable panoramic setting by the sea, the church has been the protagonist in alternating historic events. In 1229 Riccardo and Ruggero Dell’Aquila, Counts of Fondi, decided to establish a primitive monastery which was however overturned by Carlo II DAngiò to expand the castle, attached to the monastery through its bastions. Following a provisory allocation during the first half of the 15th century, the Dominican monks were transfered to the Monastery of Santa Maria della Madia, where they created the Church of San Domenico, transforming the small pre-existing church following late Gothic style (14th - 15th century). The present church has a longitudinal floorplan with two unequal naves divided by pilasters and columns ending in pointed arches and a large rectangular apse framed by a grand triumphal arch, at the centre of which is the Gothic style main altar. Damaged during the siege, the church was subject to important restorations between 1928 and 1931, and then further embellished with works from churches in the Campania region.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Church of S. Domenico - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.207767;13.587779;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_217;Castello;;http://www.futouring.com/fedora/get/turismoCulturale:920/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;età medievale-moderna;it;"Il Castello è formato da due corpi sui quali si stagliano torri cilindriche e torrioni troncoconici, per una struttura complessiva di circa 14.100 m².  Nella cupola della torre più alta è la Cappella Reale, voluta dal re Ferdinando II di Borbone nel 1849. Eretto probabilmente nel  VI secolo durante la guerra dei Goti o nel VII secolo come insediamento costiero fortificato, è sicuramente in uso al tempo di Federico II di Svevia, il quale vi soggiornò durante il periodo delle lotte col papato, e lo dotò di fortificazioni. Il nome di “Castello Angioino-Aragonese” è dato dai due edifici che lo compongono realizzati in momenti storici diversi: quello più in basso detto ""Angioino"", eretto durante la dominazione francese, e quello più in alto detto ""Aragonese"", voluto dall'imperatore Carlo V.";http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Angioino-Aragonese Castle - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.208115;13.58487;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_832;Chiesa;;http://www.futouring.com/fedora/get/turismoCulturale:922/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;età medievale-moderna;en;The front of the cathedral, with its longitudinal plan, has a pronaos, or porticoed entrance in which stand the statues of patron saints Erasmo and Marciano. The 1903 facade is in Neo-Gothic style, while the bell tower is the original by Nicola d'Angelo. The tower is organized over three levels, with mullioned windows and a small octagonal dome on the top, reaching a total height of 57m. Inside, the church features three naves from which open four chapels on each side, rich in 17th century canvases and artworks, with Baroque altars in polychrome marble. The rectangular apse contains a Baroque altar by Dionisio Lazzari and a 19th century painted crucifix. Underneath, the 17th century crypt covered in stuccos, bas-reliefs, polychrome marble intarsias, and with a bronze gate (1692), houses the bodies of saints Erasmo, Marciano, Probo, Innocenzo, Casto, Secondino, Albina and Euporia. The building was constructed in the 10-11th century over a pre-existing 7th century church dedicated to Santa Maria del Parco. It was consecrated by Pope Pasquale II in 1106, but has been subject to numerous changes over time. After the earthquake of 1231, it was rebuilt with seven naves and six rows of columns, only to be restored in the Neoclassical style by Pietro Paolo Ferrara. Work began in 1903 to build the new facade dedicated to the Assunta and Sant’Erasmo, and stone materials were collected to prepare the surviving 13th century cathedral nave to become the Diocesan Museum (Museo Diocesano) in 1956, now located in Palazzo de Vio.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Cathedral of Santi Erasmo e Marciano - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.2087;13.586918;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_840;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:938/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca medievale;en;The church, also known as the Church of S. Maria in Pensulis, has a longitudinal floorplan with three naves covered by groin vaults and separated by two rows of four marble columns with spolia capitals, and semicircular apse. On the right, in the apse area stands the two-storey bell tower built in the 12th century with ogival ceiling in the Islamic style. To the left of the apse is the sacristy, while on the right is the choir from which you can also access the ramp of the bell tower. The current church was built on top of a previous building with a single nave dating back to the 7th century, of which the original apses are still visible, and are testimony to the fact that the church was arranged orthogonally in contrast to its current form.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Chiesa di Santa Lucia - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.208893;13.588878;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_895;Museo;;http://www.futouring.com/fedora/get/turismoCulturale:965/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;età moderna;en;Currently housed in the historic Palazzo De Vio, the art gallery of the Diocesan Museum contains a collection of frescos and paintings on canvas and panel from the 13th century to the 1850s. The works, almost all religious subjects, came from the Diocesan Museum in 1956, the cathedral and other churches in the region closed to worship, which together represents the most significant group of artworks in southern Lazio. Of the works on display, the greatest number is by Giovanni da Gaeta, an artist who worked during the second half of the 15th century. Worth noting are also the paintings by Scipione Pulzone, Sebastiano Conca, Luca Giordano, Pompeo Batoni and others who are testimony to the lively artistic activity of the Campania region.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Museo Diocesano e della Religiosità del Parco dei Monti Aurunci - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20911;13.586357;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_839;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:936/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca moderna;en;"The church has an octagonal floorplan with an entrance on the side where the choir is located. The facade, reworked both in the mid-19th century due to extension works to Via Duomo, and during the course of restorations in the Fifties, features a large doorway with a staircase leading to the octagonal chamber and a single-lancet window above, framed by a triangular tympanum. The square bell tower is formed by small round arches and topped by a hemispherical dome. Inside the church the 17th century main altar by Neapolitan sculptor Dionisio Lazzari stands out, which once featured the icon of the Madonna della Sorresca, now housed in the Stabilimento dell'Annunziata hospital. The small building originated from the wishes of the people to honour the Madonna where a storeroom had stood in the 16th century, which housed a picture of her that was considered to be miraculous. At that time, the facility also stored ""sorra"", a type of cured tuna belly, preserved in wooden barrels. This prompted the title ""Madonna della Sorresca"", historically celebrated on April 16th each year. The church is currently closed for worship, and opened for cultural events on rare occasions.";http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Chiesa di Santa Maria della Sorresca - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.209156;13.585576;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_842;Chiesa;;http://www.futouring.com/fedora/get/turismoCulturale:943/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca medievale moderna;en;The church stands on the location of an ancient sacellum, or small shrine, destroyed by an earthquake in 1213. Reworked many times, it currently displays a gabled facade topped by a bell gable containing three pointed arch openings. The doorway opens from the lower part with jambs and architraves in pale marble, embellished by a cornice featuring a now deteriorated painting depicting the saint to whom the church is dedicated. Further above this is the central rose window. The building is complete with a dome supported by a cylindrical tambour with windows. The interior has three naves divided by eight columns with spolia capitals, of which the central nave ends in the apse and the lateral naves each end with a niche. The entire floor, originally decorated with mosaic (the only surviving evidence of this is the section in front of the altar), features a steep slope towards the entrance to allow water to drain away after high tide.The walls of the church were decorated with frescos, of which only a few fragments remain.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Church of San Giovanni a Mare - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.20917;13.588436;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_833;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:924/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca moderna;it;Descrizione In origine, il Palazzo era proprietà del Cardinale Tommaso De Vio, nato a Gaeta nel 1469, che una volta ottenuta la diocesi della sua città natale, iniziò a valorizzare l’edificio contiguo alla Cattedrale, forse già sede dell’episcopio. Il palazzo conserva ancora oggi tre epigrafi con il nome di Tommaso De Vio, cardinale di San Sisto, poste sugli architravi delle porte di accesso. Nel corso dei secoli il palazzo subì varie e complesse trasformazioni, che ne hanno profondamente cambiato l’aspetto originario. Attualmente ha un elegante prospetto in stile neoclassico. Il basamento, a bugnato liscio, è anticipato da un imponente zoccolatura. I piani superiori sono separati da marcapiani sui quali si alternano seminicchie cieche a finestre. Al suo interno ospita la collezione della pinacoteca del Museo Diocesano e della religiosità del Parco dei Monti Aurunci.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Palazzo De Vio - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.209293;13.58452;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_834;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:926/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca moderna;en;The rectangular building has an elegant Neoclassical façade, and the slightly protruding smooth ashlar base hosts the entrance doorway in the centre with the coat of arms of the city in marble on the top.  The upper floors are separated by moulded stringcourses and marked by flat pilasters topped by small Doric capitals. The notched cornice separates the attic, marked by a series of columns bearing Ionic capitals. The building was built in 1475 by Ferrante d'Aragona on the site of the old assembly house of Gaeta, and therefore known as the Town Hall (Palazzo di Città). It was renovated in 1852 as part of the urban reorganization ordered by King Ferdinando II, and restored in 1872-73 after Italian unification in view of its function to represent the city to which it was designated. It consequently housed the prefecture, district administration, district commission for personal property, delegation of public security, telegraph office and agricultural consortium. It lost its role in 1927 as a result of the reunification of the municipalities of Gaeta and Elena, when the decision was made to build the new town hall on the isthmus of Montesecco. In the period after the second world war it was allocated for housing, while today it houses the branch office of the Municipal Technical Department, veterans’ associations and tourism organizations. A radical conservation-restoration was carried out in the Seventies.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Former Palazzo Comunale - Gaeta;en;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.209293;13.58452;http://www.opengis.net/def/crs/EPSG/0/4326;;;
http://www.futouring.com/download/dataset/futouring_pois.rdf#turismoCulturale_POI_835;POI_InteresseArchitettonico;;http://www.futouring.com/fedora/get/turismoCulturale:928/THUMB;thumbnail;http://purl.org/NET/mediatypes/image/jpeg;;Data testuale;http://purl.org/NET/mediatypes/text/plain;epoca contemporanea;it;La Pinacoteca, collocata nello storico Palazzo S. Giacomo, ospita una cospicua raccolta di opere di artisti appartenenti ad un gruppo locale attivo per lo più negli anni centrali del ‘900, il cui agire trae ispirazione dai maggiori movimenti artistici contemporanei. La Pinacoteca svolge inoltre una importante attività di promozione dell’arte contemporanea favorendo studi, ricerche, catalogazione, documentazione, restauro ed esposizioni temporanee.;http://www.futouring.com;text/plain;http://www.futouring.com;Futouring Lazio;Pinacoteca Comunale di Arte Contemporanea Giovanni da Gaeta - Gaeta;it;CC-BY-SA;http://creativecommons.org/licenses/by-sa/3.0/;41.209614;13.58156;http://www.opengis.net/def/crs/EPSG/0/4326;;;
